Symbol,Current Price,24h Change %,7d Change %,Trend,Volatility,RSI_14,Support,Resistance,Signals
IP-USDT,2.154,12.59801359121797,42.55459960291199,上漲,5.2216506368903355,61.282530732615726,1.49525,2.22225,['🔥爆量']
FIL-USDT,1.447,-3.85382059800663,15.298804780876507,上漲,4.1782390325422964,54.71995609140733,1.25325,1.5205,['✨金叉']
PEPE-USDT,5.119e-06,20.192533458558337,25.312117503059973,上漲,5.001367690332676,68.70203090009214,3.94425e-06,4.67375e-06,"['🐢突破', '🔥爆量', '✨金叉']"
DOGE-USDT,0.12863,3.1763856581374705,4.551735349101849,上漲,2.533080748687505,45.55467764898396,0.122885,0.1421775,[]
AVAX-USDT,13.504,7.81636726546906,7.507364063370758,上漲,3.2693947169883204,56.92073379524593,11.998000000000001,13.765,"['🐢突破', '🔥爆量', '✨金叉']"
SOL-USDT,127.42,1.9849527773331266,3.324683749594559,上漲,2.09862447791175,48.06194836446681,122.375,135.425,[]
PUMP-USDT,0.002189,8.743169398907092,17.87829833064083,上漲,4.8280884670190165,48.791820450868094,0.0017847499999999999,0.00302375,[]
XRP-USDT,1.8777,0.7890499194846967,1.5247364152473741,上漲,1.7887892954917815,41.98615046362932,1.845075,2.070275,[]
ETH-USDT,3030.46,1.359618169716481,3.5314937360996668,上漲,2.2537399460447047,51.755164293165414,2907.4075000000003,3167.175,[]
BTC-USDT,88991.9,1.088102324102036,1.6359161484476248,上漲,1.368151280654956,49.917851776599136,86700.55,90644.42499999999,[]
