Symbol,Current Price,7d Change %,Trend,Volatility,RSI_14,Support,Resistance
XRPUSDT,1.8757,-1.5018642020690143,下跌,2.6819434399126223,41.06861975197317,1.8547500000000001,2.121175
ETHUSDT,2937.35,-2.3970838912905523,下跌,3.16481003538731,44.407704475503415,2891.965,3179.7575
USDCUSDT,1.0006,0.019992003198709973,上漲,0.013681969117905798,60.29245482091485,0.9996,1.0005
ZECUSDT,517.5,19.908244126233843,上漲,8.099783336191194,61.89478884164238,356.72249999999997,457.7375
BTCUSDT,87681.41,-1.059999577977122,下跌,1.9631857736714953,44.13689159519991,86465.475,92302.525
BNBUSDT,843.37,-1.780681527030481,下跌,2.3256845689753898,42.93855374618663,834.3025,903.1025
TRXUSDT,0.2837,-0.24613220815751236,下跌,1.1727803697541062,52.540981983414575,0.27705,0.2852
USD1USDT,1.0011,0.1701020612367543,上漲,0.03606264330943607,67.52909618105583,0.9989,1.000075
FLOWUSDT,0.116,-31.76470588235294,下跌,7.033182014764732,17.927506818339005,0.16925,0.22675
SOLUSDT,124.01,-1.524656555229098,下跌,3.1076250809664914,42.191989441272796,122.3975,139.93
FDUSDUSDT,0.9989,-0.060030015007506154,下跌,0.022120169787395484,55.296661874684055,0.9975,0.9996
UNIUSDT,6.309,4.83549351944168,上漲,4.861521246635089,59.45578007425027,5.263,6.178
SUIUSDT,1.45,-0.8614795569533706,上漲,5.567950186824186,45.1687050419826,1.39595,1.657225
ZENUSDT,9.323,19.44907110826395,上漲,6.268469229691723,53.54062473866469,7.7299999999999995,9.715
ATUSDT,0.1595,70.2241195304162,上漲,12.268985926453242,49.68802102094432,0.0897,0.1518
BCHUSDT,621.1,5.1998644986450016,上漲,3.781655598362111,60.975065955226285,540.7249999999999,604.475
DASHUSDT,44.8,16.727462219906176,上漲,5.486752570774973,50.090896668376416,37.8875,51.3675
AVAXUSDT,12.77,2.818035426731069,上漲,4.145098257140807,47.41017182193139,12.015,14.059999999999999
ADAUSDT,0.374,0.7814605227701499,上漲,4.468852269851829,43.838851014315935,0.35867499999999997,0.438
DOGEUSDT,0.12413,-6.373510333383614,下跌,3.4877660627642095,37.78456543215248,0.126535,0.14746499999999998
FILUSDT,1.362,4.849884526558901,上漲,4.196205348399451,48.34726073002985,1.2429999999999999,1.56975
LTCUSDT,79.79,3.5561323815704204,上漲,2.791476445901691,49.17255757978049,75.4925,84.49
ASTERUSDT,0.713,1.2784090909090828,上漲,4.711805714653082,35.58626383115296,0.69025,1.0095
DOTUSDT,1.892,6.053811659192809,上漲,4.504234806602576,44.787103739370195,1.7525,2.26675
XPLUSDT,0.1474,14.797507788162001,上漲,5.493123307642522,44.03558782591724,0.128975,0.180525
ONTUSDT,0.0676,24.264705882352942,上漲,5.436327390884791,58.356336645217944,0.0531,0.072225
STORJUSDT,0.1687,44.55869751499571,上漲,7.897773521998601,70.55152302497432,0.1138,0.15157500000000002
PAXGUSDT,4565.14,1.7872989400175898,上漲,0.6350575052605894,80.94240206114279,4203.25,4380.889999999999
NEARUSDT,1.606,6.710963455149521,上漲,4.307760945515721,47.77478131610208,1.4725000000000001,1.8165
LINKUSDT,12.43,-1.192368839427671,下跌,3.8608509844322048,43.40681453332777,12.0825,14.2025
PEPEUSDT,4.17e-06,3.731343283582089,上漲,5.086460123290013,46.85968920324931,3.915e-06,4.69e-06
TAOUSDT,224.9,1.1695906432748426,上漲,4.092486347559959,36.50028784718859,218.475,300.9
GASUSDT,2.203,19.989106753812624,上漲,3.5796352708531196,63.050198353702925,1.8185,2.21075
NTRNUSDT,0.0298,21.63265306122448,上漲,5.7943954321601625,53.10674418443883,0.0243,0.0336
TONUSDT,1.642,11.852861035422336,上漲,2.845261095147276,57.41005864426137,1.46025,1.65825
AVNTUSDT,0.398,50.302114803625386,上漲,8.022447653698123,62.219343186268965,0.254325,0.37639999999999996
ENAUSDT,0.2129,2.850241545893728,上漲,5.034740875445693,40.961776082317904,0.204075,0.28205
ACTUSDT,0.0429,25.806451612903224,上漲,9.840479906520097,70.63954456274817,0.020025,0.03895
STRKUSDT,0.0836,6.091370558375631,上漲,3.997315621241926,37.257639580588304,0.07925,0.118375
ZKUSDT,0.03155,11.366043063889864,上漲,4.766160307777496,49.677265473012184,0.027360000000000002,0.03644
SEIUSDT,0.1163,2.829354553492469,上漲,4.629209936506721,43.985330797897696,0.109975,0.13777499999999998
AAVEUSDT,155.25,3.0876494023904355,下跌,4.23640369560649,38.22093776519861,157.7225,199.14
PENGUUSDT,0.009341,2.299857627861135,上漲,6.970595293373911,42.119908309220634,0.00895325,0.011854749999999999
AIXBTUSDT,0.0318,10.801393728222997,上漲,5.628939106900449,42.26719750733502,0.028475,0.043425
APTUSDT,1.746,7.711289327575566,上漲,4.8250982429981635,47.40366422108582,1.55725,1.91975
SPKUSDT,0.023221,10.993738349027304,上漲,3.938830192018644,49.57515993995296,0.020070499999999998,0.02625425
ICPUSDT,3.088,1.5455442288720755,上漲,5.162677079384143,43.01067015071557,2.9505,3.7355
TRUUSDT,0.0107,21.590909090909083,上漲,6.952807262146347,50.576709753081225,0.008625,0.012575
GIGGLEUSDT,68.04,0.7104795737122638,上漲,8.376304241742224,36.49142195400689,64.4925,95.3325
KAITOUSDT,0.547,9.55337472461446,上漲,4.2339639430649605,44.849461802166736,0.4941,0.6778
