Symbol,Current Price,24h Change %,7d Change %,Trend,Volatility,RSI_14,Support,Resistance
LTCUSDT,79.88,-0.5601892194696867,3.6729396495781996,上漲,2.790818188140384,49.36818316429841,75.4925,84.49
ATUSDT,0.1597,1.0759493670886133,70.4375667022412,上漲,12.269363127963485,49.75425785774495,0.0897,0.1518
DASHUSDT,44.6,0.022426553038790153,16.20635747785304,上漲,5.483964103886732,49.76738484065671,37.8875,51.3675
BTCUSDT,87778.45,-0.11215675180573648,-0.9504993128587547,下跌,1.9630539136052,44.45138324237827,86465.475,92302.525
DOGEUSDT,0.12397,-0.3055890631282754,-6.494192185850056,下跌,3.4873392823462726,37.65433664636562,0.126535,0.14746499999999998
AIXBTUSDT,0.0317,-2.4615384615384706,10.45296167247387,上漲,5.63119571850161,42.08298347140743,0.028475,0.043425
ZENUSDT,9.35,2.4545255314486036,19.795003203074945,上漲,6.2729028456501785,53.74861059174644,7.7299999999999995,9.715
STORJUSDT,0.1615,1.1904761904762085,38.3890317052271,上漲,7.839508049383177,67.99478412822208,0.1138,0.15157500000000002
SUIUSDT,1.4542,0.19291718340912478,-0.574319704635573,上漲,5.5680599367153585,45.49237218457922,1.39595,1.657225
XPLUSDT,0.1478,-3.524804177545704,15.109034267912769,上漲,5.48913547454129,44.199555512252545,0.128975,0.180525
XUSDUSDT,1.0006,0.009995002498741634,0.019992003198709973,上漲,0.01362645029907175,58.974235686091646,0.9998,1.000675
ACTUSDT,0.0431,-0.4618937644341736,26.392961876832842,上漲,9.835272103564918,71.10297859504725,0.020025,0.03895
AVAXUSDT,12.84,1.1820330969267268,3.3816425120772875,上漲,4.151123499906757,48.177634706762746,12.015,14.059999999999999
FDUSDUSDT,0.999,0.020024028834608742,-0.05002501250626068,下跌,0.022231709494223817,57.078160573528336,0.9975,0.9996
ADAUSDT,0.3737,1.0000000000000009,0.7006197790353053,上漲,4.468018336998857,43.74038844109249,0.35867499999999997,0.438
AAVEUSDT,155.28,-1.1710794297352334,3.107569721115544,下跌,4.236298151954368,38.23539683670233,157.7225,199.14
ZKUSDT,0.03127,-0.5090677696468315,10.377691493116824,上漲,4.762529112468232,48.93653268892817,0.027360000000000002,0.03644
SEIUSDT,0.1166,-0.5119453924914752,3.0946065428824054,上漲,4.628849853562552,44.23160255741784,0.109975,0.13777499999999998
